book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
"Набор Кодексов Республики Казахстан 2020. Налоговый кодекс, предпринимательский кодекс",,5,5,The Boss Media group,2020,мягкая обложка,522,Русский,5,0,0,0,0
Раскраска для шибко умных. Отыщи предмет, С. Холмс,2,5,АСТ,2019,мягкая обложка,128,Русский,2,0,0,0,0
Биохакинг мозга. Проверенный план максимальной прокачки вашего мозга за две недели, Д. Эспрей,5,5,"Манн, Иванов и Фербер",2018,твердый переплет,,Русский,5,0,0,0,0
Практика дао Toyota: Руководство по внедрению принципов менеджмента Toyota," Майер Д., Лайкер Д.",2,5,Альпина Паблишер,2019,твердый переплет,586,Русский,2,0,0,0,0
Скорочтение для детей, Г. Ф. Абдулова,21,5,АСТ,2017,твердый переплет,256,русский язык,20,1,0,0,0
Куриный бульон для души. Все будет хорошо!," Э. Ньюмарк, М. В. Хансен",17,4.9,Эксмо,2018,мягкая обложка,464,Русский,16,1,0,0,0
Кради как художник. 10 уроков творческого самовыражения, О. Клеон,15,4.9,"Манн, Иванов и Фербер",2018,твердый переплет,176,Русский,14,0,1,0,0
Парфюмер: История одного убийцы, П. Зюскинд,21,4.8,Азбука,2013,мягкая обложка,304,Русский,19,1,0,1,0
Твое тело говорит: люби себя! Самая полная книга по метафизике болезней и недугов, Л. Бурбо,13,5,София,2019,твердый переплет,320,Русский,13,0,0,0,0
Интеллект-карты. Полное руководство по мощному инструменту мышления, Т. Бьюзен,4,5,"Манн, Иванов и Фербер",2018,мягкая обложка,208,Русский,4,0,0,0,0
Язык телодвижений. Как читать мысли окружающих по их жестам," А. Пиз, Б. Пиз",13,4.9,Эксмо,2017,мягкая обложка,448,Русский,12,1,0,0,0
Годовой курс занятий, М. А. Жукова,6,4.8,УМка,2019,мягкая обложка,,Русский,5,1,0,0,0
"Корейский язык. 4 книги в одной: разговорник, корейско-русский словарь, русско-корейский словарь, грамматика", А. В. Погадаева,19,4.7,АСТ,2017,интегральный переплет,224,Русский,17,1,0,0,1
Волшебное зеркало Ленорман (40 карт и руководство для гадания в коробке), А. Рей,5,4.6,Эксмо,2019,мягкая обложка,64,футляр,4,0,1,0,0
Грамматика казахского языка. Просто о сложном, Т. В. Валяева,16,4.7,Dostar Media Group,2019,мягкая обложка,238,Русский,14,1,0,0,1
Леонардо да Винчи, У. Айзексон,2,5,АСТ,2018,твердый переплет,560,Русский,2,0,0,0,0
Отчего и почему. Энциклопедия для любознательных,,105,5,Махаон,2016,твердый переплет,256,Русский,103,1,1,0,0
Вязание без слез: Базовые техники и понятные схемы, Элизабет Циммерманн,14,4.4,Альпина Паблишер,2017,мягкая обложка,176,Русский,10,1,2,0,1
Ежевичная зима, С. Джио,120,4.9,Эксмо,2016,твердый переплет,384,Русский,110,7,2,0,1
Страна Сказок. Заклинание желаний, К. Колфер,57,4.9,АСТ,2016,суперобложка,480,Русский,54,2,1,0,0
Живи легко!, Э. Мэтьюз,35,5,Эксмо,2011,твердый переплет,208,Русский,34,1,0,0,0
"Русский язык. Весь школьный курс в таблицах, упражнениях и тестах", Т. В. Балуш,5,5,Попурри,2018,мягкая обложка,432,сборники заданий и упражнений,5,0,0,0,0
The Wild Unknown Tarot. Дикое Неизвестное Таро (78 карт и руководство в подарочном футляре), К. Кранс,7,5,Эксмо,2019,футляр,208,Русский,7,0,0,0,0
Дневник памяти, Н. Спаркс,26,4.9,АСТ,2016,твердый переплет,224,Русский,24,2,0,0,0
"Иди туда, где страшно. Избавься от внутренних барьеров", Д. Лоулесс,,,Бомбора,2020,мягкая обложка,384,офсет,,,,,
Мартин Иден, Дж. Лондон,28,4.9,Азбука,2018,твердый переплет,416,Русский,25,2,1,0,0
Три чашки чая," Г. Мортенсон, Д. О. Релин",18,4.9,Эксмо,2014,мягкая обложка,448,Русский,17,1,0,0,0
Чувство и чувствительность, Д. Остин,27,4.9,Азбука,2018,твердый переплет,416,Русский,26,0,1,0,0
Синтонимы, М. Мирай,4,5,АСТ,2019,твердый переплет,288,Русский,4,0,0,0,0
Чизкейк внутри. Книга третья, В. Мельник,4,5,Эксмо,2019,твердый переплет,,Русский,4,0,0,0,0
Руководство по рисованию аниме, К. Харт,1,5,Эксмо,2019,мягкая обложка,,Русский,1,0,0,0,0
Страна радости, С. Э. Кинг,1,5,АСТ,2020,твердый переплет,320,Русский,1,0,0,0,0
Просто делай! Делай просто!, О. Хартманн,4,3.8,Бомбора,2019,70x100/16,,Русский,1,1,2,0,0
1000 головоломок для мальчиков, В. Г. Дмитриева,23,4.8,АСТ,2017,мягкая обложка,80,Русский,19,3,1,0,0
