book_name,author,number_of_reviews,rating(5),publishing_house,year_of_publication,bookbinding,quantity_of_pages,language,quantity_of_ratings_5,quantity_of_ratings_4,quantity_of_ratings_3,quantity_of_ratings_2,quantity_of_ratings_1
Тропинка к своему Я. Метафорические ассоциативные карты, Л. Кононова,8,4.8,Речь,2019,70x90/32,,Русский,7,0,1,0,0
Человек Противный. Зачем нашему безупречному телу столько несовершенств, Й. Адлер,,,Эксмо,2019,твердый переплет,416,Русский,,,,,
Стеклянный меч, Авеярд В.,,,Freedom,2019,твердый переплет,576,Русский,,,,,
Развитие межполушарного взаимодействия у детей с ОВЗ (ОНР), Т. П. Трясорукова,,,Феникс,2020,мягкая обложка,56,Русский,,,,,
Последнее желание. Меч Предназначения. Кровь эльфов. Час Презрения. Крещение огнем. Башня Ласточки. Владычица Озера, А. Сапковский,,,АСТ,2020,твердый переплет,1344,Русский,,,,,
Хроники Черного Отряда. Портал Теней, Г. Ч. Кук,,,Азбука-Аттикус,2020,твердый переплет,480,Русский,,,,,
Божественная комедия, Д. Алигьери,24,4.7,Азбука,2018,твердый переплет,544,Русский,18,5,1,0,0
Английский язык. Для детей 5-6 лет. Часть 1, Т. В. Крижановская,19,5,Эксмо,2013,мягкая обложка,56,Русский,19,0,0,0,0
Я хочу домой, Э. Сафарли,51,4.8,АСТ,2015,твердый переплет,288,Русский,47,0,1,2,1
Дети мои, Г. Ш. Яхина,18,4.9,Редакция Елены Шубиной,2018,твердый переплет,496,Русский,17,1,0,0,0
Любовь во время чумы, Г. Гарсиа Маркес,4,5,АСТ,2015,мягкая обложка,544,Русский,4,0,0,0,0
Эмма, Д. Остин,4,4.8,АСТ,2018,мягкая обложка,512,Русский,3,1,0,0,0
Pop-up для малышей. Ням-ням. Кто что ест?,,4,5,Malamalama,2019,твердый переплет,,Русский,4,0,0,0,0
Зеленая миля, С. Э. Кинг,16,4.9,АСТ,2014,твердый переплет,384,Русский,15,1,0,0,0
Искусство жить просто. Как избавиться от лишнего и обогатить свою жизнь, Д. Лоро,3,4.7,Альпина Паблишер,2020,мягкая обложка,280,мягкая обложка,2,1,0,0,0
Кафка на пляже, Х. Мураками,1,5,Эксмо,2011,мягкая обложка,672,Русский,1,0,0,0,0
Мертвые души, Н. В. Гоголь,1,5,АСТ,2015,мягкая обложка,352,Русский,1,0,0,0,0
Энциклопедия с развивающими заданиями «100 советов для мальчиков»,,1,5,УМка,2020,твердый переплет,48,Русский,1,0,0,0,0
Убийство в «Восточном экспрессе», А. Кристи,15,4.9,Эксмо,2016,мягкая обложка,320,Русский,14,1,0,0,0
неНумерология: анализ личности, О. М. Перцева,56,4.6,АСТ,2019,твердый переплет,352,Русский,47,2,4,1,2
Куриный бульон для души. Сердце уже знает. 101 история о правильных решениях," Э. Ньюмарк, Л. Слокум Лахав",20,4.8,Бомбора,2018,мягкая обложка,480,Русский,17,2,1,0,0
Узорный покров, У. С. Моэм,3,5,АСТ,2016,мягкая обложка,352,Русский,3,0,0,0,0
Алиса в Стране чудес. Алиса в Зазеркалье, Л. Кэрролл,6,4.7,АСТ,2017,мягкая обложка,,Русский,5,0,1,0,0
"Главные секреты абсолютной уверенности в себе. Проверенная формула, теперь она поможет и вам", Р. Энтони,4,3.8,Питер,2019,мягкая обложка,256,Русский,2,1,0,0,1
О мышах и людях. Жемчужина, Дж. Стейнбек,11,4.9,АСТ,2017,мягкая обложка,256,Русский,10,1,0,0,0
Оракул Ленорман (карты),,9,5,Гранд-Фаир,2019,коробка,,Русский,9,0,0,0,0
"Еда и мозг. Что углеводы делают со здоровьем, мышлением и памятью", Д. Перлмуттер,2,5,"Манн, Иванов и Фербер",2019,мягкая обложка,416,Русский,2,0,0,0,0
Мифы Древней Греции,,28,4.8,Росмэн,2015,твердый переплет,160,Русский,22,6,0,0,0
Увлекательная химия, Елена Качур,28,5,"Манн, Иванов и Фербер",2017,твердый переплет,80,Русский,28,0,0,0,0
Пикник на обочине," А. Н. Стругацкий, Б. Н. Стругацкий",12,4.7,АСТ,2015,мягкая обложка,256,Русский,9,2,1,0,0
Ребенок от 8 до 13 лет. Самый трудный возраст, Л. М. Суркова,7,4.9,АСТ,2018,твердый переплет,224,Русский,6,1,0,0,0
Большая книга исполнения желаний (Подарочное издание), Л. Хей,11,4.8,Эксмо,2018,твердый переплет,400,Русский,10,0,1,0,0
Мертвое озеро, Р. Кейн,16,4.4,Эксмо,2018,твердый переплет,352,Русский,11,2,2,1,0
Пятьдесят оттенков серого, Э. Л. Джеймс,6,5,Эксмо,2017,мягкая обложка,608,Русский,6,0,0,0,0
Активити-блокнот. Гравити Фолз. С нами не соскучишься!,,5,5,Эксмо,2018,мягкая обложка,,Русский,5,0,0,0,0
"Юным умникам и умницам. 1 класс. Задания по развитию познавательных способностей (6-7 лет). Информатика, логика, математика. Рабочая тетрадь: В 2 ч.", О. А. Холодова,33,4.8,РОСТкнига,2018,мягкая обложка,112,Русский,28,5,0,0,0
Точка обмана, Д. Браун,30,4.8,АСТ,2014,мягкая обложка,576,Русский,24,6,0,0,0
Бегущий в Лабиринте. Испытание огнем. Лекарство от смерти, Дж. Дэшнер,53,4.9,АСТ,2017,твердый переплет,800,Русский,49,3,0,0,1
Собор Парижской Богоматери, В. Гюго,25,4.9,Азбука,2018,твердый переплет,608,Русский,22,3,0,0,0
Альбом-раскраска. Мандалы здоровья и благополучия, Л. Габо,21,5,Эксмо,2015,мягкая обложка,48,Русский,21,0,0,0,0
Мама и сын. Как вырастить из мальчика мужчину, М. Микер,,,Бомбора,2019,твердый переплет,352,Русский,,,,,
Благие знамения," Т. Пратчетт, Н. Гейман",,,Эксмо,2019,мягкая обложка,512,Русский,,,,,
Бремя страстей человеческих, У. С. Моэм,,,АСТ,2020,твердый переплет,704,Русский,,,,,
Полный годовой курс занятий 3-4 лет (комплект), А. Дорофеева,45,5,Мозаика-Синтез,2017,мягкая обложка,176,от 3 до 5 лет,44,1,0,0,0
"Малыш и Карлсон, который живёт на крыше", А. Линдгрен,4,5,Махаон,2019,интегральный переплет,176,Русский,4,0,0,0,0
Столкновение цивилизаций, Сэмюэль П. Хантингтон,1,5,АСТ,2016,мягкая обложка,640,Русский,1,0,0,0,0
Как быть стоиком. Античная философия и современная жизнь, М. Пильюччи,1,5,Альпина нон-фикшн,2019,твердый переплет,279,Русский,1,0,0,0,0
"А тому ли я дала? Когда хотелось счастья, а получилось как всегда", Н. Набокова,1,5,АСТ,2019,твердый переплет,256,Русский,1,0,0,0,0
Гарри Поттер и узник Азкабана, Дж. К. Роулинг,13,5,Махаон,2014,твердый переплет,528,Русский,13,0,0,0,0
Куриный бульон для души: 101 история о чудесах, М. В. Хансен,11,4.3,Эксмо,2017,мягкая обложка,416,Русский,8,1,0,1,1
Карма любви. Вопросы о личных отношениях, М. Роуч,12,5,АСТ,2018,твердый переплет,416,Русский,12,0,0,0,0
"Девочки, книга для вас. Энциклопедия для девочек", С. А. Могилевская,19,4.8,АСТ,2015,твердый переплет,240,Русский,18,0,0,1,0
Часодейная книга, Н. В. Щерба,3,5,Росмэн,2020,твердый переплет,,Русский,3,0,0,0,0
Живые люди, Я. Вагнер,3,5,АСТ,2020,твердый переплет,416,Русский,3,0,0,0,0
Введение в психоанализ, З. Фрейд,18,4.9,Азбука,2018,твердый переплет,448,Русский,17,0,1,0,0
Тень горы. Продолжение бестселлера «Шантарам», Г. Д. Робертс,36,4.6,Азбука,2016,твердый переплет,832,Русский,29,2,4,0,1
Легенды и мифы Древней Греции,,19,4.6,Азбука,2018,твердый переплет,544,Русский,14,4,0,1,0
Приключения Тома Сойера и Гекльберри Финна, М. Твен,10,4.9,Азбука,2018,твердый переплет,608,Русский,9,1,0,0,0
Страна сказок. За гранью сказки, К. Колфер,10,5,АСТ,2018,суперобложка,,Русский,10,0,0,0,0
"Союз непохожих. Как создать счастливую семью не вопреки, а благодаря вашим различиям", И. К. Адизес,3,5,"Манн, Иванов и Фербер",2017,мягкая обложка,208,Русский,3,0,0,0,0
Английские сказки для девочек. Уровень 1,,24,4.8,АСТ,2017,мягкая обложка,160,Английский-Русский,21,2,1,0,0
Думай и Богатей!, Н. Хилл,24,4.6,Прайм-Еврознак,2011,твердый переплет,384,Русский,20,1,1,2,0
Все о Мэри Поппинс, П. Трэверс,21,4.7,Росмэн,2008,твердый переплет,640,Русский,17,2,2,0,0
Особые поручения, Б. Акунин,5,4.2,Захаров,2019,твердый переплет,336,Русский,3,1,0,1,0
Сила уверенности в себе, Б. Трейси,7,5,Попурри,2018,твердый переплет,192,Русский,7,0,0,0,0
Фейк, Р. Т. Кийосаки,2,5,Попурри,2019,твердый переплет,560,Русский,2,0,0,0,0
Никогде, Н. Гейман,6,5,АСТ,2017,суперобложка,464,Русский,6,0,0,0,0
Тысячеликий герой, Д. Кэмпбелл,9,4.8,Питер,2017,твердый переплет,352,Русский,7,2,0,0,0
Государь. О военном искусстве, Н. Макиавелли (Макьявелли),2,5,АСТ,2015,мягкая обложка,416,Русский,2,0,0,0,0
Кармический менеджмент. Эффект бумеранга в бизнесе и в жизни, М. Роуч,2,5,АСТ,2018,твердый переплет,256,Русский,2,0,0,0,0
Корейский язык! Большой понятный самоучитель," А. А. Войцехович, А. В. Ан",2,5,АСТ,2019,твердый переплет,384,учебное пособие,2,0,0,0,0
Гарри Поттер и Кубок Огня, Дж. К. Роулинг,8,3.9,Махаон,2015,твердый переплет,704,Русский,4,2,0,1,1
Полный годовой курс занятий с детьми 5-6 лет (12 книг в подарочной упаковке)," Д. Денисова, А. Дорофеева",8,5,Мозаика-Синтез,2011,мягкая обложка,196,от 5 до 7 лет,8,0,0,0,0
Письма к брату Тео, В. Ван Гог,5,5,АСТ,2018,мягкая обложка,480,Русский,5,0,0,0,0
Ежедневник: Метод Стивена Кови,,9,4.3,Альпина Паблишер,2019,твердый переплет,432,Русский,7,0,1,0,1
"Дом, в котором горит свет", Э. Сафарли,15,4.3,АСТ,2019,твердый переплет,288,Русский,11,1,1,1,1
Самый богатый человек в Вавилоне, Д. С. Клейсон,,,Попурри,2020,твердый переплет,160,Русский,,,,,
Маленькая хозяйка Большого дома, Дж. Лондон,5,4,АСТ,2016,мягкая обложка,384,Русский,2,1,2,0,0
Исчезнувшая, Г. Флинн,11,4.5,Азбука,2017,мягкая обложка,512,Русский,8,1,1,1,0
Бойцовский клуб (новый перевод), Ч. Паланик,4,5,АСТ,2018,мягкая обложка,256,Русский,4,0,0,0,0
Девушка в тумане, Д. Карризи,4,5,Азбука,2018,мягкая обложка,352,Русский,4,0,0,0,0
Королек — птичка певчая, Р. Н. Гюнтекин,25,4.9,Черная речка,2020,твердый переплет,447,Русский,23,1,1,0,0
"Мужчины с Марса, женщины с Венеры. Курс исполнения желаний. Даже если вы не верите в магию и волшебство", Грей Д.,26,4.7,АСТ,2018,мягкая обложка,350,Русский,21,3,2,0,0
Суперпамять. Как быстро добиться серьезных успехов в развитии памяти, Т. Бьюзен,13,5,Попурри,2020,мягкая обложка,240,Русский,13,0,0,0,0
Последнее желание, А. Сапковский,39,4.7,Полиграфиздат,2013,твердый переплет,318,Русский,34,1,1,2,1
Потерянные девушки Рима, Д. Карризи,28,4.6,Азбука-Аттикус,2018,мягкая обложка,480,Русский,22,4,1,0,1
Китайское исследование. Результаты самого масштабного исследования связи питания и здоровья," Колин Кэмпбелл, Томас Кэмпбелл",31,4.3,"Манн, Иванов и Фербер",2017,твердый переплет,400,Русский,23,2,2,1,3
Утреннее сияние, С. Джио,42,4.6,Эксмо,2016,твердый переплет,352,Русский,36,1,2,2,1
Приключения Алисы в стране чудес, Л. Кэрролл,12,5,Росмэн,2016,твердый переплет,160,Русский,12,0,0,0,0
Белый Клык. Зов предков, Дж. Лондон,3,5,АСТ,2016,мягкая обложка,384,Русский,3,0,0,0,0
"Кто заплачет, когда ты умрешь? Уроки жизни от монаха, который продал свой «феррари»", Р. С. Шарма,3,5,АСТ,2019,твердый переплет,224,Русский,3,0,0,0,0
Мужчины любят стерв. Руководство для слишком хороших женщин, Ш. Аргов,34,4.7,Эксмо,2012,мягкая обложка,320,Русский,31,0,0,1,2
Финансист, Т. Драйзер,3,4.3,АСТ,2019,твердый переплет,576,Русский,2,0,1,0,0
Маленький принц, А. де Сент-Экзюпери,134,4.9,Эксмо,2015,твердый переплет,112,Русский,129,3,1,0,1
Туда без обратно, Э. Сафарли,7,4.3,АСТ,2015,твердый переплет,288,Русский,4,1,2,0,0
Лолита, В. В. Набоков,14,4.9,Азбука,2014,мягкая обложка,416,Русский,13,0,1,0,0
"Сила киски. Как получать от мужчин все, что пожелаешь", К. Кинг,9,4.9,Эксмо,2018,мягкая обложка,304,Русский,8,1,0,0,0
Сияние, С. Э. Кинг,3,4.7,АСТ,2019,твердый переплет,544,Русский,2,1,0,0,0
Мертвая зона, С. Э. Кинг,8,5,АСТ,2013,твердый переплет,480,Русский,8,0,0,0,0
Ни Сы. Иди вперед и ничего не бойся, Д. Синсеро,1,4,Бомбора,2020,мягкая обложка,304,офсет,0,1,0,0,0
"100 сказок, стихов и рассказов для мальчиков"," С. Я. Маршак, Э. Н. Успенский, В. В. Бианки",11,4.6,АСТ,2018,твердый переплет,,Русский,8,2,1,0,0
Собор Парижской Богоматери, В. Гюго,2,5,АСТ,2016,мягкая обложка,608,Русский,2,0,0,0,0
Магнитные закладки «Японская живопись. Коты» (6 закладок полукруглых),,2,5,,,,,,,,2,0,0
Радикальное Прощение. 25 практических применений. Новые способы решения проблем повседневной жизни, К. Типпинг,2,5,София,2019,твердый переплет,288,Русский,2,0,0,0,0
Джейн Эйр, Ш. Бронте,2,5,АСТ,2018,твердый переплет,448,Русский,2,0,0,0,0
"Что делать, если...", Л. В. Петрановская,34,4.9,Аванта+,2015,твердый переплет,144,Русский,32,2,0,0,0
Рассказы, А. Кристи,5,5,Айрис-пресс,2011,мягкая обложка,208,Английский-Русский,5,0,0,0,0
Братья Карамазовы, Ф. М. Достоевский,5,5,Эксмо,2017,твердый переплет,800,Русский,5,0,0,0,0
"Настоящие принцессы всегда говорят ""спасибо"". Хорошие манеры для девочек от 5 до 8 лет",,48,4.9,Эксмо,2015,мягкая обложка,64,Русский,43,4,1,0,0
Искусство слышать стук сердца, Я.-Ф. Зендкер,31,5,Азбука,2014,мягкая обложка,320,Русский,31,0,0,0,0
"Летнее утро, летняя ночь", Р. Брэдбери,9,4.7,Домино,2011,мягкая обложка,208,Русский,7,1,1,0,0
Полное собрание стихотворений в одном томе, Э. А. Асадов,27,5,Эксмо,2012,твердый переплет,912,Русский,27,0,0,0,0
"Золотой ключик, или Приключения Буратино", А. Н. Толстой,46,4.9,Росмэн,2012,твердый переплет,144,Русский,44,1,0,0,1
Метро 2033, Д. А. Глуховский,10,4.6,АСТ,2019,твердый переплет,384,Русский,9,0,0,0,1
Главная книга малыша. Развитие от 0 до 3 лет,,,,Проф-Пресс,2019,твердый переплет,128,Русский,,,,,
Мироморфозы. Экстремальные раскраски, Р. Керби,,,Эксмо,2020,суперобложка,96,Русский,,,,,
Карта Животный и растительный мир Земли для детей,,30,4.9,,,,,,,,,,
Юные Титаны: Рэйвен, К. Гарсия,2,5,Росмэн,2019,твердый переплет,,Русский,2,0,0,0,0
Спасение печени: как помочь главному фильтру организма и защитить себя от болезней, Э. Уильям,2,5,Эксмо,2019,твердый переплет,704,Русский,2,0,0,0,0
Ставь цели! Найти свою цель и достичь ее за 1 год, И. Пинтосевич,4,5,Эксмо,2013,мягкая обложка,,Русский,4,0,0,0,0
Возвращение в ледяной дворец, Э. Дэвид,4,5,Эксмо,2019,твердый переплет,128,Русский,4,0,0,0,0
"Компас сердца. История о том, как обычный мальчик стал великим хирургом, разгадав тайны мозга", Д. Доти,16,4.9,Эксмо,2017,твердый переплет,272,Русский,15,1,0,0,0
Джейн Эйр, Ш. Бронте,15,5,Эксмо,2011,мягкая обложка,704,Русский,15,0,0,0,0
Выгорание. Новый подход к избавлению от стресса, Эмили Нагоски,,,"Манн, Иванов и Фербер",2019,мягкая обложка,,Русский,,,,,
После падения," Ю. П. Чегодайкина, А. Тодд",1,5,Эксмо,2017,мягкая обложка,736,Русский,1,0,0,0,0
Дамское счастье, Э. Золя,1,5,АСТ,2017,мягкая обложка,544,Русский,1,0,0,0,0
Коралина, Н. Гейман,1,5,АСТ,2019,мягкая обложка,320,Английский-Русский,1,0,0,0,0
Алхимик, П. Коэльо,1,5,АСТ,2019,твердый переплет,224,Русский,1,0,0,0,0
Гравити Фолз. Странногеддон. Графический роман,,1,5,Эксмо,2019,твердый переплет,240,Русский,1,0,0,0,0
Ведьмак. Кровь эльфов. Час презрения, А. Сапковский,1,5,АСТ,2020,твердый переплет,372,Русский,1,0,0,0,0
"Навеки твой, Лео", М. Шеридан,1,5,Эксмо,2020,твердый переплет,288,Русский,1,0,0,0,0
Русалка, К. Генри,1,5,АСТ,2020,твердый переплет,320,Русский,1,0,0,0,0
Крестный отец, М. Пьюзо,15,4.9,Эксмо,2009,мягкая обложка,608,Русский,14,1,0,0,0
Финансист, Т. Драйзер,7,4.6,Эксмо,2018,твердый переплет,576,Русский,6,0,0,1,0
Исцели себя сам, Л. Хей,9,3.3,Эксмо,2016,мягкая обложка,400,Русский,5,0,0,1,3
Йога Дипика: Прояснение йоги, Б. К. С. Айенгар,9,5,Альпина нон-фикшн,2018,твердый переплет,494,Русский,9,0,0,0,0
На грани катастрофы, А. Хейли,8,5,АСТ,2015,мягкая обложка,224,Русский,8,0,0,0,0
Джеки Чан. Я счастливый," Чжу Мо, Д. Чан",8,4.9,Эксмо,2016,твердый переплет,,Русский,7,1,0,0,0
Мой первый альбом, Н. И. Котятова,8,4.9,Росмэн,2018,твердый переплет,44,Русский,7,1,0,0,0
Язык жизни: Ненасильственное общение, Розенберг М.,3,5,София,2019,мягкая обложка,288,Русский,3,0,0,0,0
И дольше века длится день, Ч. Т. Айтматов,3,5,АСТ,2018,мягкая обложка,512,Русский,3,0,0,0,0
Спартак, Р. Джованьоли,3,5,Азбука,2018,твердый переплет,448,Русский,3,0,0,0,0
Исцеление Рода. Путь к процветанию и благополучию," В. В. Синельников, Л. А. Синельникова",3,5,Центрполиграф,2019,твердый переплет,224,Русский,3,0,0,0,0
Мизери, С. Э. Кинг,12,4.8,Астрель,2013,твердый переплет,381,Русский,10,2,0,0,0
Степной волк, Г. Гессе,3,4.3,АСТ,2014,мягкая обложка,288,Русский,2,0,1,0,0
Правда о деле Гарри Квеберта, Ж. Диккер,18,4.8,АСТ,2017,твердый переплет,720,Русский,16,1,1,0,0
Как легко учиться в младшей школе! От 7 до 12. Книга для родителей, Ш. Т. Ахмадуллин,10,5,АСТ,2019,твердый переплет,256,Русский,10,0,0,0,0
"Игры, в которые играют люди. Люди, которые играют в игры", Э. Берн,9,5,Эксмо,2014,твердый переплет,576,Русский,9,0,0,0,0
"Как читать, запоминать и никогда не забывать", М. Тигелаар,2,5,"Манн, Иванов и Фербер",2019,мягкая обложка,192,Русский,2,0,0,0,0
Реши-пиши. Тетрадь с развивающими заданиями, С. Пархоменко,9,4.9,Банда Умников,2018,мягкая обложка,,Русский,8,1,0,0,0
Слушай свое тело - твоего лучшего друга на Земле, Л. Бурбо,3,4.7,София,2019,твердый переплет,256,Русский,2,1,0,0,0
Скотный двор, Д. Оруэлл,3,4.7,АСТ,2018,твердый переплет,256,Русский,2,1,0,0,0
Раскраска с фломастерами «Тролли. Мир волшебных песен»,,,,ND Play,2020,мягкая обложка,24,Русский,,,,,
Английский язык. Толстый кот (Fat Cat). Читаем сочетания слов. Level 5. Набор карточек, Т. Б. Клементьева,8,5,Айрис-пресс,2012,коробка,48,Английский-Русский,8,0,0,0,0
Нейропсихологические занятия с детьми. Часть 2," С. Н. Колганов, В. С. Колганова, Е. В. Пивоварова",8,5,Айрис-пресс,2018,мягкая обложка,144,Русский,8,0,0,0,0
Говорящий сверток, Дж. Даррелл,5,5,Росмэн,2018,твердый переплет,288,Русский,5,0,0,0,0
Алиса в стране чудес, Л. Кэрролл,7,5,Росмэн,2019,твердый переплет,144,Русский,7,0,0,0,0
Увлекательная физика, Елена Качур,37,4.9,"Манн, Иванов и Фербер",2017,твердый переплет,80,Русский,35,1,1,0,0
Анатомия человека," Е. Ю. Зигалова, Г. Л. Билич",12,4.7,Эксмо,2016,мягкая обложка,240,Русский,9,2,1,0,0
Азиатская модель управления: Удачи и провалы самого динамичного региона в мире," Д, Стадвелл",,,Альпина Паблишер,2020,твердый переплет,536,Русский,,,,,
Шьем платья на любую фигуру, А. Корфиати,15,4.6,АСТ,2018,твердый переплет,,Русский,13,0,1,0,1
Кратчайшая история времени, С. Хокинг,7,4.9,АСТ,2017,твердый переплет,176,Русский,6,1,0,0,0
Норвежский лес, Х. Мураками,4,3.5,Эксмо,2009,мягкая обложка,384,Русский,0,2,2,0,0
Над пропастью во ржи, Д. Д. Сэлинджер,11,4.6,Эксмо,2016,мягкая обложка,272,Русский,9,0,2,0,0
"Ружья, микробы и сталь: история человеческих сообществ", Д. Даймонд,2,5,АСТ,2017,мягкая обложка,768,Русский,2,0,0,0,0
Спящий убийца, А. Кристи,2,4.5,Эксмо,2018,мягкая обложка,288,Русский,1,1,0,0,0
"Думай как миллионер. 17 уроков состоятельности для тех, кто готов разбогатеть", Т. Харв Экер,2,5,Эксмо,2019,мягкая обложка,288,Русский,2,0,0,0,0
Оракул Ленорман. Самоучитель по гаданию и работе с картами, А. Огински,2,5,Эксмо,2020,твердый переплет,688,офсет,2,0,0,0,0
Тетрадь цыпленка. Грамотей. Пособие. 5-6 лет (в 4-х частях), С. В. Трофимова,7,4.7,8&8,882015,мягкая обложка,184,Русский,6,0,1,0,0
"Стрелок: из цикла ""Темная башня""", С. Э. Кинг,5,5,АСТ,2012,твердый переплет,318,Русский,5,0,0,0,0
Принц и нищий, М. Твен,5,5,Азбука,2018,твердый переплет,288,Русский,5,0,0,0,0
Никогда-нибудь. Как выйти из тупика и найти себя, Е. Резанова,4,4,"Манн, Иванов и Фербер",2018,твердый переплет,208,Русский,2,0,2,0,0
Рик и Морти, З. Горман,7,4.6,Комильфо,2018,твердый переплет,400,Русский,6,0,0,1,0
"Психология влияния. Убеждай, воздействуй, защищайся", Р. Б. Чалдини,3,3,Прогресс книга,2020,твердый переплет,464,Русский,1,0,0,2,0
Burda. Практика шитья. Руководство,,26,5,ИД Бурда,2019,интегральный переплет,248,Русский,26,0,0,0,0
Стратегия мышления богатых и бедных людей, С. Р. Давлатов,25,5,Эксмо,2018,твердый переплет,272,Русский,25,0,0,0,0
Внимание; Память,,5,4.8,Росмэн,2011,мягкая обложка,72,Русский,4,1,0,0,0
Лунная тропа, С. Джио,22,4.9,Эксмо,2016,твердый переплет,384,Русский,19,3,0,0,0
Карлик Нос. Маленький Мук, В. Гауф,3,5,Эксмо,2017,твердый переплет,80,Русский,3,0,0,0,0
Часы, А. Кристи,,,Эксмо,2019,мягкая обложка,320,Русский,,,,,
Грозовой перевал, Э. Д. Бронте,,,Эксмо,2019,твердый переплет,448,Русский,,,,,
"Возлюби болезнь свою. Как стать здоровым, познав радость жизни", В. В. Синельников,,,Центрполиграф,2020,мягкая обложка,448,Русский,,,,,
Три дочери Евы, Э. Шафак,4,4.3,Азбука,2019,мягкая обложка,480,Русский,2,1,1,0,0
"Богатый папа, бедный папа (новая редакция)", Р. Т. Кийосаки,19,5,Попурри,2019,мягкая обложка,352,Русский,19,0,0,0,0
Книга предсказаний, С. Коржова,19,5,Дәме,2020,мягкая обложка,160,Русский,19,0,0,0,0
"Мани, или Азбука денег", Б. Шефер,17,4.9,Попурри,2020,интегральный переплет,192,офсет,16,1,0,0,0
Искра жизни, Э. М. Ремарк,4,4.8,АСТ,2015,мягкая обложка,480,Русский,3,1,0,0,0
Теремок. Книжка-игрушка," С. Мохова-Пянтковская, В. Соколова",4,5,Азбукварик,2012,твердый переплет,10,Русский,4,0,0,0,0
Python для детей. Самоучитель по программированию, Д. Бриггс,7,4.7,"Манн, Иванов и Фербер",2017,мягкая обложка,320,Русский,6,0,1,0,0
Страна радости, С. Э. Кинг,26,4.6,АСТ,2014,твердый переплет,320,Русский,17,8,1,0,0
Сказки на ночь, К. Рот,38,4.7,Махаон,2020,твердый переплет,80,Русский,33,2,2,0,1
